order_id,order_date,supplier_name,product_name,carrier,warehouse,country,quantity,unit_price,status,delay_days,stock_level,reorder_point,revenue,total_amount
ORD-1222,2024-01-01,Rift Valley Suppliers,Chemical Compounds,Siginon Logistics,Kisumu,Uganda,340,239.88,Delivered,13,714,198,81559.2,81559.2
ORD-1197,2024-01-02,Mombasa Trading Co,Office Supplies,G4S Logistics,Kisumu,Kenya,246,171.85,Delivered,13,303,81,42275.1,42275.1
ORD-1373,2024-01-02,Lake Region Trading,Office Supplies,G4S Logistics,Mombasa,Ethiopia,170,185.66,Delivered,0,553,198,31562.2,31562.2
ORD-1037,2024-01-04,East Africa Logistics,Machinery Parts,Kenya Airways Cargo,Kisumu,Rwanda,58,176.38,Delivered,0,11,183,10230.04,10230.04
ORD-1284,2024-01-04,Dar es Salaam Imports,Raw Cotton,G4S Logistics,Nairobi,Ethiopia,139,208.69,Delivered,1,140,69,29007.91,29007.91
ORD-1476,2024-01-05,Pan-Africa Distributors,Chemical Compounds,Siginon Logistics,Nairobi,Uganda,332,137.25,Cancelled,15,499,184,45567.0,45567.0
ORD-1449,2024-01-05,Kenya Procurement Co,Machinery Parts,Siginon Logistics,Mombasa,Rwanda,181,31.14,Shipped,14,541,66,5636.34,5636.34
ORD-1181,2024-01-06,Kenya Procurement Co,Industrial Bearings,Kenya Airways Cargo,Eldoret,Ethiopia,355,150.01,Cancelled,2,776,175,53253.55,53253.55
ORD-1358,2024-01-08,Pan-Africa Distributors,Chemical Compounds,DHL,Mombasa,Ethiopia,149,62.85,Delivered,0,553,52,9364.65,9364.65
ORD-1226,2024-01-10,Mombasa Trading Co,Packaging Material,FedEx,Kisumu,Rwanda,240,87.24,Delivered,12,788,153,20937.6,20937.6
ORD-1278,2024-01-11,Kampala Wholesale,Electronic Components,DHL,Eldoret,Rwanda,494,190.46,Processing,13,171,107,94087.24,94087.24
ORD-1002,2024-01-13,Pan-Africa Distributors,Industrial Bearings,Kenya Airways Cargo,Kisumu,Tanzania,358,178.68,Delivered,2,203,199,63967.44,63967.44
ORD-1023,2024-01-14,Nairobi Supplies Ltd,Machinery Parts,FedEx,Eldoret,Ethiopia,353,210.54,Processing,0,19,69,74320.62,74320.62
ORD-1017,2024-01-16,Rift Valley Suppliers,Raw Cotton,Kenya Airways Cargo,Kisumu,Rwanda,369,146.82,Shipped,0,881,122,54176.58,54176.58
ORD-1016,2024-01-17,Global Freight KE,Packaging Material,DHL,Eldoret,Kenya,109,11.77,Delivered,0,915,63,1282.93,1282.93
ORD-1291,2024-01-17,Nairobi Supplies Ltd,Raw Cotton,G4S Logistics,Kisumu,Uganda,256,122.61,Delivered,5,904,160,31388.16,31388.16
ORD-1125,2024-01-17,Kampala Wholesale,Medical Supplies,Siginon Logistics,Eldoret,Rwanda,24,184.25,Delivered,0,687,154,4422.0,4422.0
ORD-1424,2024-01-21,East Africa Logistics,Medical Supplies,FedEx,Nairobi,Tanzania,47,242.16,Delivered,15,661,107,11381.52,11381.52
ORD-1059,2024-01-23,Mombasa Trading Co,Chemical Compounds,DHL,Mombasa,Rwanda,338,131.59,Delivered,5,293,92,44477.42,44477.42
ORD-1077,2024-01-24,Nairobi Supplies Ltd,Safety Equipment,Kenya Airways Cargo,Eldoret,Tanzania,273,118.85,Processing,0,357,129,32446.05,32446.05
ORD-1162,2024-01-25,Lake Region Trading,Electronic Components,G4S Logistics,Nairobi,Ethiopia,223,138.75,Cancelled,7,827,184,30941.25,30941.25
ORD-1400,2024-01-26,Dar es Salaam Imports,Industrial Bearings,FedEx,Nairobi,Rwanda,493,94.51,Cancelled,0,148,187,46593.43,46593.43
ORD-1354,2024-01-26,East Africa Logistics,Office Supplies,DHL,Nairobi,Rwanda,11,151.33,Shipped,0,262,118,1664.63,1664.63
ORD-1323,2024-01-28,East Africa Logistics,Raw Cotton,Siginon Logistics,Nairobi,Ethiopia,460,148.27,Cancelled,5,241,199,68204.2,68204.2
ORD-1122,2024-01-29,Kenya Procurement Co,Raw Cotton,Siginon Logistics,Nairobi,Uganda,389,108.75,Processing,2,160,91,42303.75,42303.75
ORD-1399,2024-01-30,Rift Valley Suppliers,Machinery Parts,Kenya Airways Cargo,Nairobi,Uganda,178,60.21,Processing,5,159,169,10717.38,10717.38
ORD-1407,2024-01-30,Kampala Wholesale,Safety Equipment,DHL,Mombasa,Tanzania,413,17.65,Shipped,10,380,94,7289.45,7289.45
ORD-1234,2024-01-30,Nairobi Supplies Ltd,Packaging Material,DHL,Eldoret,Uganda,125,116.04,Delivered,8,372,62,14505.0,14505.0
ORD-1392,2024-01-30,Global Freight KE,Office Supplies,G4S Logistics,Eldoret,Ethiopia,375,225.41,Processing,3,560,133,84528.75,84528.75
ORD-1288,2024-01-31,Nairobi Supplies Ltd,Steel Rods,FedEx,Eldoret,Uganda,169,26.66,Shipped,0,276,105,4505.54,4505.54
ORD-1370,2024-01-31,Kampala Wholesale,Steel Rods,FedEx,Nairobi,Kenya,161,91.77,Delivered,1,579,142,14774.97,14774.97
ORD-1328,2024-02-01,Global Freight KE,Electronic Components,DHL,Nairobi,Rwanda,317,105.86,Delivered,0,107,166,33557.62,33557.62
ORD-1396,2024-02-01,Dar es Salaam Imports,Electronic Components,Siginon Logistics,Eldoret,Kenya,172,85.94,Delivered,12,516,135,14781.68,14781.68
ORD-1172,2024-02-02,Mombasa Trading Co,Packaging Material,G4S Logistics,Eldoret,Ethiopia,14,223.51,Delivered,4,985,87,3129.14,3129.14
ORD-1276,2024-02-02,Kampala Wholesale,Steel Rods,DHL,Nairobi,Rwanda,63,55.77,Cancelled,4,821,135,3513.51,3513.51
ORD-1130,2024-02-03,Kampala Wholesale,Chemical Compounds,Siginon Logistics,Mombasa,Rwanda,18,142.66,Delivered,15,158,179,2567.88,2567.88
ORD-1290,2024-02-04,Mombasa Trading Co,Safety Equipment,FedEx,Mombasa,Rwanda,425,149.54,Cancelled,3,219,181,63554.5,63554.5
ORD-1414,2024-02-04,Rift Valley Suppliers,Steel Rods,Siginon Logistics,Eldoret,Kenya,42,6.3,Delivered,8,171,119,264.6,264.6
ORD-1076,2024-02-05,Dar es Salaam Imports,Medical Supplies,DHL,Nairobi,Tanzania,437,89.84,Cancelled,11,351,56,39260.08,39260.08
ORD-1243,2024-02-05,Pan-Africa Distributors,Office Supplies,G4S Logistics,Eldoret,Rwanda,327,107.08,Delivered,0,143,146,35015.16,35015.16
ORD-1461,2024-02-05,Kenya Procurement Co,Raw Cotton,Kenya Airways Cargo,Mombasa,Ethiopia,358,207.85,Delivered,0,320,123,74410.3,74410.3
ORD-1412,2024-02-05,Dar es Salaam Imports,Electronic Components,G4S Logistics,Eldoret,Uganda,410,146.12,Delivered,5,129,70,59909.2,59909.2
ORD-1285,2024-02-06,Mombasa Trading Co,Medical Supplies,FedEx,Kisumu,Ethiopia,62,80.41,Processing,4,886,124,4985.42,4985.42
ORD-1294,2024-02-06,Mombasa Trading Co,Packaging Material,DHL,Nairobi,Uganda,212,161.64,Delivered,5,782,69,34267.68,34267.68
ORD-1102,2024-02-06,Mombasa Trading Co,Medical Supplies,FedEx,Mombasa,Ethiopia,360,55.64,Delivered,5,813,128,20030.4,20030.4
ORD-1454,2024-02-07,East Africa Logistics,Machinery Parts,FedEx,Eldoret,Uganda,382,247.78,Cancelled,14,103,134,94651.96,94651.96
ORD-1448,2024-02-07,Dar es Salaam Imports,Steel Rods,G4S Logistics,Eldoret,Tanzania,26,199.6,Delivered,5,655,135,5189.6,5189.6
ORD-1347,2024-02-08,Pan-Africa Distributors,Safety Equipment,FedEx,Kisumu,Tanzania,272,173.51,Processing,11,508,127,47194.72,47194.72
ORD-1082,2024-02-10,Kampala Wholesale,Chemical Compounds,Siginon Logistics,Mombasa,Uganda,429,68.92,Cancelled,2,801,152,29566.68,29566.68
ORD-1065,2024-02-10,Nairobi Supplies Ltd,Steel Rods,DHL,Mombasa,Tanzania,23,43.87,Processing,0,307,138,1009.01,1009.01
ORD-1238,2024-02-10,Global Freight KE,Medical Supplies,DHL,Nairobi,Ethiopia,368,152.68,Delivered,0,668,99,56186.24,56186.24
ORD-1426,2024-02-11,Kampala Wholesale,Steel Rods,G4S Logistics,Eldoret,Uganda,374,53.88,Delivered,19,441,131,20151.12,20151.12
ORD-1409,2024-02-11,Mombasa Trading Co,Packaging Material,G4S Logistics,Nairobi,Ethiopia,401,175.76,Delivered,14,258,133,70479.76,70479.76
ORD-1239,2024-02-13,Rift Valley Suppliers,Raw Cotton,G4S Logistics,Mombasa,Uganda,207,71.38,Shipped,8,750,144,14775.66,14775.66
ORD-1013,2024-02-14,Kenya Procurement Co,Safety Equipment,FedEx,Eldoret,Tanzania,468,102.21,Processing,16,619,116,47834.28,47834.28
ORD-1160,2024-02-16,Pan-Africa Distributors,Machinery Parts,FedEx,Kisumu,Kenya,181,18.69,Delivered,2,916,188,3382.89,3382.89
ORD-1050,2024-02-17,Global Freight KE,Machinery Parts,Siginon Logistics,Kisumu,Uganda,373,173.68,Delivered,3,184,141,64782.64,64782.64
ORD-1359,2024-02-17,Lake Region Trading,Safety Equipment,Kenya Airways Cargo,Eldoret,Tanzania,462,191.19,Cancelled,8,373,156,88329.78,88329.78
ORD-1018,2024-02-17,Nairobi Supplies Ltd,Packaging Material,G4S Logistics,Kisumu,Ethiopia,161,112.43,Processing,0,333,192,18101.23,18101.23
ORD-1313,2024-02-18,Lake Region Trading,Office Supplies,Siginon Logistics,Kisumu,Rwanda,335,193.38,Delivered,8,59,181,64782.3,64782.3
ORD-1314,2024-02-19,Global Freight KE,Steel Rods,G4S Logistics,Kisumu,Uganda,473,21.23,Processing,1,166,169,10041.79,10041.79
ORD-1052,2024-02-19,Kampala Wholesale,Packaging Material,Kenya Airways Cargo,Mombasa,Kenya,253,229.23,Processing,0,222,80,57995.19,57995.19
ORD-1327,2024-02-20,Rift Valley Suppliers,Safety Equipment,G4S Logistics,Kisumu,Ethiopia,208,175.64,Delivered,3,482,107,36533.12,36533.12
ORD-1353,2024-02-20,Mombasa Trading Co,Steel Rods,Kenya Airways Cargo,Kisumu,Uganda,378,25.71,Processing,2,802,193,9718.38,9718.38
ORD-1086,2024-02-21,Global Freight KE,Medical Supplies,FedEx,Mombasa,Rwanda,11,137.15,Delivered,0,217,152,1508.65,1508.65
ORD-1453,2024-02-21,East Africa Logistics,Raw Cotton,DHL,Kisumu,Ethiopia,55,233.57,Delivered,5,626,123,12846.35,12846.35
ORD-1049,2024-02-22,Dar es Salaam Imports,Raw Cotton,Siginon Logistics,Nairobi,Kenya,60,109.94,Shipped,5,796,145,6596.4,6596.4
ORD-1009,2024-02-22,Nairobi Supplies Ltd,Raw Cotton,DHL,Nairobi,Rwanda,131,6.27,Shipped,6,155,91,821.37,821.37
ORD-1482,2024-02-23,Lake Region Trading,Raw Cotton,DHL,Mombasa,Tanzania,63,21.32,Delivered,15,662,165,1343.16,1343.16
ORD-1206,2024-02-24,Mombasa Trading Co,Safety Equipment,FedEx,Mombasa,Tanzania,252,141.22,Processing,7,325,127,35587.44,35587.44
ORD-1487,2024-02-24,Mombasa Trading Co,Safety Equipment,Siginon Logistics,Mombasa,Rwanda,289,183.98,Delivered,3,340,141,53170.22,53170.22
ORD-1334,2024-02-25,Global Freight KE,Machinery Parts,G4S Logistics,Eldoret,Ethiopia,347,206.34,Shipped,9,661,112,71599.98,71599.98
ORD-1164,2024-02-26,Global Freight KE,Industrial Bearings,DHL,Eldoret,Rwanda,44,242.32,Shipped,3,472,100,10662.08,10662.08
ORD-1227,2024-02-27,Global Freight KE,Safety Equipment,Kenya Airways Cargo,Nairobi,Rwanda,199,46.57,Delivered,10,140,184,9267.43,9267.43
ORD-1001,2024-02-27,Rift Valley Suppliers,Raw Cotton,Siginon Logistics,Eldoret,Rwanda,445,38.47,Delivered,16,996,55,17119.15,17119.15
ORD-1192,2024-02-27,Pan-Africa Distributors,Steel Rods,Kenya Airways Cargo,Kisumu,Kenya,397,145.01,Delivered,0,153,51,57568.97,57568.97
ORD-1184,2024-02-28,Rift Valley Suppliers,Packaging Material,Kenya Airways Cargo,Eldoret,Kenya,470,123.01,Delivered,9,793,154,57814.7,57814.7
ORD-1486,2024-02-29,Mombasa Trading Co,Safety Equipment,Kenya Airways Cargo,Kisumu,Ethiopia,183,86.54,Delivered,7,360,165,15836.82,15836.82
ORD-1419,2024-03-02,Kampala Wholesale,Packaging Material,Kenya Airways Cargo,Nairobi,Kenya,479,181.02,Delivered,12,353,198,86708.58,86708.58
ORD-1273,2024-03-02,Dar es Salaam Imports,Raw Cotton,FedEx,Kisumu,Kenya,11,55.24,Delivered,0,451,161,607.64,607.64
ORD-1063,2024-03-04,Mombasa Trading Co,Steel Rods,G4S Logistics,Kisumu,Ethiopia,98,16.69,Cancelled,11,637,54,1635.62,1635.62
ORD-1247,2024-03-05,Pan-Africa Distributors,Steel Rods,G4S Logistics,Eldoret,Kenya,243,219.78,Delivered,9,657,72,53406.54,53406.54
ORD-1248,2024-03-06,Nairobi Supplies Ltd,Machinery Parts,FedEx,Eldoret,Tanzania,181,140.14,Delivered,0,1,79,25365.34,25365.34
ORD-1441,2024-03-08,East Africa Logistics,Chemical Compounds,Kenya Airways Cargo,Eldoret,Kenya,326,172.72,Cancelled,0,11,82,56306.72,56306.72
ORD-1302,2024-03-08,Dar es Salaam Imports,Packaging Material,FedEx,Eldoret,Ethiopia,381,27.3,Delivered,11,151,53,10401.3,10401.3
ORD-1459,2024-03-08,Nairobi Supplies Ltd,Machinery Parts,Kenya Airways Cargo,Eldoret,Rwanda,46,16.78,Shipped,0,247,106,771.88,771.88
ORD-1484,2024-03-09,Lake Region Trading,Packaging Material,Kenya Airways Cargo,Mombasa,Ethiopia,332,138.0,Delivered,0,748,169,45816.0,45816.0
ORD-1157,2024-03-11,Pan-Africa Distributors,Steel Rods,DHL,Eldoret,Tanzania,225,233.08,Shipped,3,75,70,52443.0,52443.0
ORD-1340,2024-03-12,Kenya Procurement Co,Safety Equipment,Kenya Airways Cargo,Nairobi,Ethiopia,482,92.22,Shipped,0,454,94,44450.04,44450.04
ORD-1144,2024-03-12,Kampala Wholesale,Machinery Parts,FedEx,Mombasa,Kenya,499,91.95,Delivered,0,396,137,45883.05,45883.05
ORD-1007,2024-03-12,Kampala Wholesale,Safety Equipment,Kenya Airways Cargo,Nairobi,Ethiopia,30,154.82,Delivered,0,555,61,4644.6,4644.6
ORD-1142,2024-03-14,Kenya Procurement Co,Raw Cotton,Kenya Airways Cargo,Kisumu,Rwanda,388,239.84,Delivered,13,481,194,93057.92,93057.92
ORD-1215,2024-03-19,Global Freight KE,Raw Cotton,Kenya Airways Cargo,Eldoret,Uganda,293,58.12,Delivered,12,335,81,17029.16,17029.16
ORD-1165,2024-03-19,Pan-Africa Distributors,Steel Rods,FedEx,Eldoret,Uganda,458,173.57,Processing,12,416,54,79495.06,79495.06
ORD-1045,2024-03-20,Kenya Procurement Co,Electronic Components,DHL,Eldoret,Ethiopia,199,187.29,Shipped,9,125,117,37270.71,37270.71
ORD-1490,2024-03-20,Kenya Procurement Co,Chemical Compounds,FedEx,Mombasa,Tanzania,440,220.26,Cancelled,16,760,107,96914.4,96914.4
ORD-1388,2024-03-20,Nairobi Supplies Ltd,Packaging Material,G4S Logistics,Mombasa,Uganda,162,148.7,Delivered,12,424,109,24089.4,24089.4
ORD-1466,2024-03-21,East Africa Logistics,Safety Equipment,Kenya Airways Cargo,Eldoret,Uganda,197,62.74,Delivered,14,965,135,12359.78,12359.78
ORD-1195,2024-03-21,Pan-Africa Distributors,Steel Rods,DHL,Nairobi,Rwanda,416,206.58,Processing,9,132,144,85937.28,85937.28
ORD-1406,2024-03-21,Kampala Wholesale,Packaging Material,Kenya Airways Cargo,Nairobi,Ethiopia,313,211.37,Cancelled,6,811,122,66158.81,66158.81
ORD-1040,2024-03-22,Global Freight KE,Steel Rods,FedEx,Nairobi,Kenya,179,242.54,Processing,0,692,166,43414.66,43414.66
ORD-1167,2024-03-22,Mombasa Trading Co,Chemical Compounds,Siginon Logistics,Mombasa,Tanzania,110,217.38,Delivered,7,735,143,23911.8,23911.8
ORD-1218,2024-03-23,East Africa Logistics,Chemical Compounds,FedEx,Eldoret,Tanzania,53,175.75,Cancelled,11,123,61,9314.75,9314.75
ORD-1093,2024-03-24,Global Freight KE,Medical Supplies,FedEx,Kisumu,Uganda,200,201.23,Delivered,1,537,111,40246.0,40246.0
ORD-1109,2024-03-24,East Africa Logistics,Office Supplies,Kenya Airways Cargo,Kisumu,Ethiopia,199,165.65,Processing,7,653,62,32964.35,32964.35
ORD-1371,2024-03-25,Dar es Salaam Imports,Safety Equipment,G4S Logistics,Kisumu,Ethiopia,63,102.31,Shipped,10,217,113,6445.53,6445.53
ORD-1252,2024-03-25,Kenya Procurement Co,Medical Supplies,FedEx,Kisumu,Ethiopia,383,122.69,Cancelled,1,89,74,46990.27,46990.27
ORD-1363,2024-03-26,Nairobi Supplies Ltd,Raw Cotton,Siginon Logistics,Kisumu,Uganda,242,41.2,Delivered,20,752,130,9970.4,9970.4
ORD-1105,2024-03-28,East Africa Logistics,Machinery Parts,G4S Logistics,Nairobi,Tanzania,465,97.43,Processing,0,0,107,45304.95,45304.95
ORD-1204,2024-04-01,East Africa Logistics,Safety Equipment,Siginon Logistics,Nairobi,Ethiopia,336,201.52,Delivered,0,943,195,67710.72,67710.72
ORD-1342,2024-04-03,Kenya Procurement Co,Industrial Bearings,Siginon Logistics,Mombasa,Uganda,160,36.54,Delivered,11,522,53,5846.4,5846.4
ORD-1411,2024-04-05,Mombasa Trading Co,Steel Rods,G4S Logistics,Nairobi,Rwanda,204,224.67,Delivered,3,837,156,45832.68,45832.68
ORD-1337,2024-04-07,Global Freight KE,Medical Supplies,DHL,Eldoret,Ethiopia,276,12.79,Delivered,4,654,96,3530.04,3530.04
ORD-1389,2024-04-07,East Africa Logistics,Machinery Parts,G4S Logistics,Eldoret,Rwanda,358,143.29,Delivered,9,998,157,51297.82,51297.82
ORD-1312,2024-04-07,Kampala Wholesale,Chemical Compounds,Kenya Airways Cargo,Mombasa,Rwanda,196,211.31,Delivered,4,611,104,41416.76,41416.76
ORD-1336,2024-04-08,East Africa Logistics,Safety Equipment,Siginon Logistics,Mombasa,Uganda,138,90.17,Processing,0,804,162,12443.46,12443.46
ORD-1074,2024-04-08,Global Freight KE,Office Supplies,FedEx,Mombasa,Tanzania,453,192.02,Delivered,6,775,122,86985.06,86985.06
ORD-1214,2024-04-11,Mombasa Trading Co,Industrial Bearings,DHL,Mombasa,Ethiopia,143,45.72,Shipped,13,618,171,6537.96,6537.96
ORD-1025,2024-04-11,Lake Region Trading,Raw Cotton,G4S Logistics,Kisumu,Tanzania,303,66.31,Shipped,6,796,74,20091.93,20091.93
ORD-1263,2024-04-12,Global Freight KE,Raw Cotton,G4S Logistics,Mombasa,Uganda,304,23.46,Delivered,1,582,181,7131.84,7131.84
ORD-1497,2024-04-14,Global Freight KE,Office Supplies,Siginon Logistics,Eldoret,Kenya,395,195.75,Shipped,0,406,146,77321.25,77321.25
ORD-1434,2024-04-14,Kampala Wholesale,Industrial Bearings,Siginon Logistics,Eldoret,Tanzania,295,83.56,Processing,0,207,134,24650.2,24650.2
ORD-1494,2024-04-17,East Africa Logistics,Office Supplies,DHL,Nairobi,Tanzania,136,249.43,Delivered,8,834,115,33922.48,33922.48
ORD-1096,2024-04-17,Kampala Wholesale,Electronic Components,Kenya Airways Cargo,Mombasa,Uganda,53,36.48,Delivered,9,743,63,1933.44,1933.44
ORD-1131,2024-04-18,Mombasa Trading Co,Electronic Components,Kenya Airways Cargo,Kisumu,Ethiopia,353,63.46,Processing,5,488,109,22401.38,22401.38
ORD-1258,2024-04-18,Global Freight KE,Electronic Components,Kenya Airways Cargo,Kisumu,Tanzania,122,144.42,Delivered,4,107,121,17619.24,17619.24
ORD-1136,2024-04-18,Pan-Africa Distributors,Raw Cotton,Siginon Logistics,Kisumu,Rwanda,148,135.91,Shipped,0,101,107,20114.68,20114.68
ORD-1300,2024-04-19,Pan-Africa Distributors,Office Supplies,Kenya Airways Cargo,Nairobi,Kenya,289,160.98,Delivered,7,681,198,46523.22,46523.22
ORD-1367,2024-04-19,Pan-Africa Distributors,Medical Supplies,DHL,Kisumu,Uganda,217,188.66,Delivered,0,699,84,40939.22,40939.22
ORD-1456,2024-04-19,Pan-Africa Distributors,Office Supplies,Kenya Airways Cargo,Eldoret,Ethiopia,108,97.91,Processing,12,516,51,10574.28,10574.28
ORD-1046,2024-04-20,Global Freight KE,Machinery Parts,DHL,Nairobi,Uganda,455,66.46,Shipped,10,993,61,30239.3,30239.3
ORD-1391,2024-04-21,Mombasa Trading Co,Safety Equipment,G4S Logistics,Eldoret,Rwanda,393,87.67,Delivered,10,780,80,34454.31,34454.31
ORD-1019,2024-04-21,East Africa Logistics,Safety Equipment,Kenya Airways Cargo,Eldoret,Ethiopia,140,169.65,Processing,1,641,198,23751.0,23751.0
ORD-1156,2024-04-22,Mombasa Trading Co,Medical Supplies,FedEx,Mombasa,Tanzania,71,32.8,Processing,21,64,197,2328.8,2328.8
ORD-1116,2024-04-22,Kampala Wholesale,Medical Supplies,DHL,Eldoret,Kenya,62,90.34,Delivered,3,219,83,5601.08,5601.08
ORD-1283,2024-04-22,Nairobi Supplies Ltd,Industrial Bearings,Kenya Airways Cargo,Kisumu,Tanzania,135,121.67,Processing,0,890,170,16425.45,16425.45
ORD-1031,2024-04-22,Kampala Wholesale,Raw Cotton,Kenya Airways Cargo,Eldoret,Kenya,469,71.53,Processing,2,756,114,33547.57,33547.57
ORD-1006,2024-04-24,Global Freight KE,Medical Supplies,G4S Logistics,Eldoret,Tanzania,198,67.77,Cancelled,18,631,150,13418.46,13418.46
ORD-1275,2024-04-25,Global Freight KE,Machinery Parts,FedEx,Kisumu,Tanzania,229,72.31,Cancelled,4,774,186,16558.99,16558.99
ORD-1079,2024-04-26,Kampala Wholesale,Raw Cotton,DHL,Kisumu,Kenya,44,16.77,Processing,16,494,146,737.88,737.88
ORD-1289,2024-04-27,Mombasa Trading Co,Packaging Material,FedEx,Mombasa,Rwanda,207,199.0,Delivered,10,725,150,41193.0,41193.0
ORD-1123,2024-04-27,Lake Region Trading,Chemical Compounds,Kenya Airways Cargo,Mombasa,Kenya,50,144.29,Processing,7,680,190,7214.5,7214.5
ORD-1281,2024-04-27,Nairobi Supplies Ltd,Packaging Material,G4S Logistics,Kisumu,Ethiopia,394,10.44,Delivered,11,361,63,4113.36,4113.36
ORD-1020,2024-04-29,East Africa Logistics,Industrial Bearings,DHL,Nairobi,Rwanda,159,85.4,Cancelled,9,968,115,13578.6,13578.6
ORD-1084,2024-04-29,East Africa Logistics,Industrial Bearings,Kenya Airways Cargo,Nairobi,Tanzania,369,233.69,Shipped,1,310,66,86231.61,86231.61
ORD-1417,2024-04-30,Mombasa Trading Co,Raw Cotton,Siginon Logistics,Eldoret,Tanzania,452,182.11,Processing,3,208,197,82313.72,82313.72
ORD-1296,2024-05-01,Pan-Africa Distributors,Packaging Material,Kenya Airways Cargo,Mombasa,Tanzania,132,226.27,Processing,5,983,73,29867.64,29867.64
ORD-1362,2024-05-01,Dar es Salaam Imports,Chemical Compounds,Siginon Logistics,Nairobi,Ethiopia,18,20.27,Delivered,0,936,167,364.86,364.86
ORD-1233,2024-05-02,Pan-Africa Distributors,Machinery Parts,G4S Logistics,Mombasa,Ethiopia,130,68.69,Processing,4,963,78,8929.7,8929.7
ORD-1438,2024-05-02,Kampala Wholesale,Industrial Bearings,DHL,Kisumu,Kenya,457,139.41,Delivered,3,632,176,63710.37,63710.37
ORD-1235,2024-05-03,Dar es Salaam Imports,Electronic Components,Kenya Airways Cargo,Mombasa,Tanzania,470,12.92,Cancelled,3,563,51,6072.4,6072.4
ORD-1307,2024-05-04,Kenya Procurement Co,Safety Equipment,FedEx,Nairobi,Kenya,249,78.0,Shipped,0,292,120,19422.0,19422.0
ORD-1005,2024-05-05,East Africa Logistics,Raw Cotton,Kenya Airways Cargo,Mombasa,Uganda,81,107.85,Delivered,9,496,109,8735.85,8735.85
ORD-1463,2024-05-05,Kampala Wholesale,Office Supplies,Siginon Logistics,Mombasa,Ethiopia,190,200.89,Shipped,8,285,193,38169.1,38169.1
ORD-1108,2024-05-05,Dar es Salaam Imports,Raw Cotton,G4S Logistics,Nairobi,Rwanda,261,87.46,Cancelled,9,975,114,22827.06,22827.06
ORD-1274,2024-05-06,Dar es Salaam Imports,Electronic Components,FedEx,Kisumu,Kenya,139,66.6,Shipped,6,885,62,9257.4,9257.4
ORD-1145,2024-05-06,Rift Valley Suppliers,Machinery Parts,Kenya Airways Cargo,Mombasa,Rwanda,240,239.42,Cancelled,4,278,118,57460.8,57460.8
ORD-1421,2024-05-06,Rift Valley Suppliers,Office Supplies,Kenya Airways Cargo,Kisumu,Uganda,31,121.77,Cancelled,13,797,177,3774.87,3774.87
ORD-1335,2024-05-07,Pan-Africa Distributors,Electronic Components,FedEx,Eldoret,Tanzania,369,89.55,Delivered,10,431,165,33043.95,33043.95
ORD-1345,2024-05-07,Lake Region Trading,Medical Supplies,G4S Logistics,Mombasa,Tanzania,307,27.61,Processing,0,589,192,8476.27,8476.27
ORD-1178,2024-05-08,Mombasa Trading Co,Safety Equipment,Siginon Logistics,Mombasa,Uganda,402,220.69,Cancelled,7,841,122,88717.38,88717.38
ORD-1433,2024-05-13,Kenya Procurement Co,Machinery Parts,FedEx,Kisumu,Ethiopia,286,233.34,Delivered,4,310,138,66735.24,66735.24
ORD-1201,2024-05-14,Mombasa Trading Co,Electronic Components,G4S Logistics,Mombasa,Uganda,45,25.31,Cancelled,2,739,59,1138.95,1138.95
ORD-1149,2024-05-14,Mombasa Trading Co,Office Supplies,DHL,Eldoret,Kenya,210,25.4,Cancelled,6,640,126,5334.0,5334.0
ORD-1485,2024-05-15,East Africa Logistics,Medical Supplies,Kenya Airways Cargo,Kisumu,Rwanda,369,110.72,Shipped,1,577,128,40855.68,40855.68
ORD-1057,2024-05-15,Pan-Africa Distributors,Packaging Material,G4S Logistics,Mombasa,Ethiopia,144,233.98,Delivered,1,918,183,33693.12,33693.12
